Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1626769869,6,POST,/purchasePlaces,0.600000,0.000000,7,7,7,7,20,20,20,20,20,20,20,6,0,7,8.885393499743563,5.8531419999781065,20.315867999670445,2385.1666666666665
1626769869,6,POST,/showSummary,0.200000,0.000000,7,7,7,7,7,7,7,7,7,7,7,4,0,7,7.094296000104805,6.93298799887998,7.2714939997240435,2542.0
1626769869,6,,Aggregated,1.900000,0.000000,7,11,12,13,13,18,20,20,20,20,20,30,0,7,8.833741866631803,4.607123999448959,20.315867999670445,1785.7
1626769870,6,GET,/,0.200000,0.000000,6,6,12,12,12,12,12,12,12,12,12,4,0,6,7.245657749081147,5.111711998324608,12.470267998651252,1040.0
1626769870,6,GET,/book/Spring%20Festival%202021/Simply%20Lift,0.400000,0.000000,6,6,18,18,18,18,18,18,18,18,18,4,0,5.379903999710223,8.735953750147019,5.379903999710223,18.496765000236337,1554.0
1626769870,6,GET,/displayPoints,0.200000,0.000000,5,5,5,11,11,11,11,11,11,11,11,5,0,5,6.278268000096432,4.607123999448959,10.95516599889379,2035.2
1626769870,6,GET,/logout,0.400000,0.000000,13,13,13,13,13,13,13,13,13,13,13,7,0,13,12.572132143239807,11.967164000452613,13.385464999373653,1220.0
1626769870,6,POST,/purchasePlaces,0.500000,0.000000,7,7,7,7,20,20,20,20,20,20,20,6,0,7,8.885393499743563,5.8531419999781065,20.315867999670445,2385.1666666666665
1626769870,6,POST,/showSummary,0.400000,0.000000,7,7,7,7,7,7,7,7,7,7,7,5,0,7,7.052813200061792,6.886881999889738,7.2714939997240435,2542.0
1626769870,6,,Aggregated,2.100000,0.000000,7,11,12,12,13,18,20,20,20,20,20,31,0,7,8.770939935446574,4.607123999448959,20.315867999670445,1810.0967741935483
1626769871,6,GET,/,0.200000,0.000000,6,6,12,12,12,12,12,12,12,12,12,4,0,6,7.245657749081147,5.111711998324608,12.470267998651252,1040.0
1626769871,6,GET,/book/Spring%20Festival%202021/Simply%20Lift,0.400000,0.000000,6,6,18,18,18,18,18,18,18,18,18,4,0,5.379903999710223,8.735953750147019,5.379903999710223,18.496765000236337,1554.0
1626769871,6,GET,/displayPoints,0.200000,0.000000,5,5,5,11,11,11,11,11,11,11,11,5,0,5,6.278268000096432,4.607123999448959,10.95516599889379,2035.2
1626769871,6,GET,/logout,0.400000,0.000000,13,13,13,13,13,13,13,13,13,13,13,7,0,13,12.572132143239807,11.967164000452613,13.385464999373653,1220.0
1626769871,6,POST,/purchasePlaces,0.500000,0.000000,7,7,7,7,20,20,20,20,20,20,20,6,0,7,8.885393499743563,5.8531419999781065,20.315867999670445,2385.1666666666665
1626769871,6,POST,/showSummary,0.400000,0.000000,7,7,7,7,7,7,7,7,7,7,7,5,0,7,7.052813200061792,6.886881999889738,7.2714939997240435,2542.0
1626769871,6,,Aggregated,2.100000,0.000000,7,11,12,12,13,18,20,20,20,20,20,31,0,7,8.770939935446574,4.607123999448959,20.315867999670445,1810.0967741935483
1626769872,6,GET,/,0.300000,0.000000,6,6,12,12,12,12,12,12,12,12,12,4,0,6,7.245657749081147,5.111711998324608,12.470267998651252,1040.0
1626769872,6,GET,/book/Spring%20Festival%202021/Simply%20Lift,0.400000,0.000000,5,6,6,18,18,18,18,18,18,18,18,5,0,5.379903999710223,8.081012399998144,5.379903999710223,18.496765000236337,1554.0
1626769872,6,GET,/displayPoints,0.300000,0.000000,5,5,5,11,11,11,11,11,11,11,11,5,0,5,6.278268000096432,4.607123999448959,10.95516599889379,2035.2
1626769872,6,GET,/logout,0.500000,0.000000,13,13,13,13,13,13,13,13,13,13,13,7,0,13,12.572132143239807,11.967164000452613,13.385464999373653,1220.0
1626769872,6,POST,/purchasePlaces,0.300000,0.000000,7,7,7,7,20,20,20,20,20,20,20,6,0,7,8.885393499743563,5.8531419999781065,20.315867999670445,2385.1666666666665
1626769872,6,POST,/showSummary,0.400000,0.000000,7,7,7,7,7,7,7,7,7,7,7,5,0,7,7.052813200061792,6.886881999889738,7.2714939997240435,2542.0
1626769872,6,,Aggregated,2.200000,0.000000,7,11,12,12,13,18,20,20,20,20,20,32,0,7,8.667512031195201,4.607123999448959,20.315867999670445,1802.09375
1626769873,6,GET,/,0.300000,0.000000,6,6,12,12,12,12,12,12,12,12,12,4,0,6,7.245657749081147,5.111711998324608,12.470267998651252,1040.0
1626769873,6,GET,/book/Spring%20Festival%202021/Simply%20Lift,0.300000,0.000000,5,6,6,18,18,18,18,18,18,18,18,5,0,5.379903999710223,8.081012399998144,5.379903999710223,18.496765000236337,1554.0
